Id|NameAr
--|------
04454e8f-1fa6-45f7-b21c-5fdf46242b59|طلب استئجار وحدة سكنية
2240f121-815d-4e1d-8a28-1c99a9102ae8|طلب إعفاء من سداد القرض
27599d6b-d4b6-45a5-9e4d-2d7e59fe2a2c|طلب صرف دفعات منح المساعدة المالية
28abcfbe-fdd8-4d62-ae89-974090722ded|طلب قرض مسكن
2ba4d41f-7bbc-4ec0-b58b-7946c7767e8e|طلب منحة بناء مسكن
36c02503-7817-46a9-b2b9-5dc60886152d|طلب بناء وحدة سكنية في أرض أحد الأقارب
4230c26f-7a32-4e96-9595-257725504011|طلب صيانة خلال فترة الضمان عن طريق مركز الاتصال
49a529a4-310c-44d3-8ea6-8aff51303bff|طلب شهادة لمن يهمه الأمر
7254e6f0-0d87-4b54-b868-941029865114|والإحلال
76af6e88-6359-44fc-8c65-27cfc3e42f02|طلب إعادة النظر في القرار/عرض حالة إسكانية
857a9001-9e77-49ca-8e25-2415666d319c|طلب سداد مبكر للقرض
958b1aa9-abfe-4704-9c81-53acad718155|طلب منحة الصيانة أو الإضافة أو الإحلال
96ae0985-f4f3-407b-a1ad-134d03a5d618|طلب شهادة لمن يهمه الأمر - نسبة الإنجاز
adbe8d1d-97eb-4c7b-9441-ce7e61f9f8b7|طلب صرف دفعات قرض الصيانة والإضافة والإحلال
b0fa1a1d-037d-40b3-ab11-a30e54229491|طلب صرف دفعات قرض الصيانة والإضافة
b2c6dbf9-fd22-4df2-b773-7d7099e05ea8|طلب إعادة جدولة المتأخرات
bac23a3c-4fa8-493b-b04a-b6f93123c5ef|طلب منحة شقة سكنية
bd09aa13-00dd-41cb-bf28-2f03bb040e4a|طلب تحديث بيانات المتعامل
c9c38337-b182-4360-92b7-017a2cf9970f|طلب شراء مسكن
cef90cb1-73ef-4d0e-9051-ca0202a7e135|طلب صرف دفعات منح المساعدة المالية 750 الف
d733f871-3be2-46bd-8607-aebc6421b8c5|طلب فك/إلغاء تخصيص المسكن (قروض)
d8ee3097-3439-4424-913c-e289e297ac41|طلب قرض بناء مسكن
eb31f9b2-48f1-4c60-b3b5-6ba6dc505cc3|طلب منحة مسكن
f16e036c-4762-4219-a921-5e5829b7ebee|طلب قرض الصيانة أو الإضافة أو الإحلال
f23a46ec-bf5c-41c9-b9c4-66fade1a54ba|طلب صيانة طارئة (فزعة)

(25 rows affected)
