Id|NameAr
--|------
009db9c8-7ec4-4e30-889a-4687d2d7765f|نظام Confluence
0e8eac4e-ba32-4d44-a2e6-16dd85cf8fce|نظام إيجابي
1958c935-cdfb-48b8-b276-76931452b7df|نظام الاقتراحات والشكاوى  الحكومي
2219048c-d969-4a4b-94fa-0d3070e1c774|نظام صيانة الأصول
264f7421-ad3b-4e12-a6c9-8a3609e6a10a|نظام الإسكان
29ecdbdf-77d2-46fb-83e4-3165653a9bf2|نظام المشتريات الحكومية GRP
2c7141d1-5ba1-459b-ad2b-67e88e99ac4e|نظام إدارة علاقات الماتعاملين (CRM)
2fd4d60a-1342-44fc-b9f9-b090a5a75ea6|موقع دائرة الموارد البشرية
33ee2eef-0f78-4c59-a989-fd2bc110d39d|نظام المراسلات الإلكتروني
3eabfe6d-1a38-4615-89c3-6d82a0036e3a|نظام  إدارة علاقات المتعاملين
3f946b08-eb01-4818-bbef-ad1ffbb22e88|نظام المراسلات
4266357f-64a8-4161-963e-d9b487ae0372|نظام CRM
5391e8bf-a000-4e9f-90dd-9d2acebaeb8a|نظام الدعم الإلكتروني /دبي الرقمية
59b3c651-f068-49c0-a3d9-3448ba992c3c|نظام الخدمات الإسكانية/نظام العقود
5afeba2c-224a-4c7d-985b-e5093f9dd701|نظام إدارة علاقات المتعاملين (CRM)
5f6f411a-2c8e-4480-8115-e44fa28c834e|نظام المدفوعات AP
60eb330c-f94f-4bfb-ad41-ca740bd1671c|نظام الاتصال الموحد
61c869b7-2915-4a98-8142-d21aed5cb64b|نظام الخدمات الإسكانية
6c3f4b7b-d82d-4bc4-9d97-be53ae837628|نظام المقاولين
71f99f49-14d5-4d4d-89a9-2a6fda575524|نظام الشكاوى والاقتراحات الحكومي
7a565b8c-1700-4e3c-8e0b-e31de6da6c01|إدارة المشاريع الهندسية
7dcd6c09-dbb5-436f-8ec0-ca0c16474129|نظام  JIRA
7e0d3ee4-569c-4ef2-a94d-6f4910fa8390|نظام استطلاعات الرأي mSurvey
81d31013-43d5-480d-9de3-bce1ab926ec0|نظام الدعم الفني ـJEERA
84a1a2dc-d0ab-4a3e-9077-86c05a25f042|نظام المسار الذكي /دبي الرقمية
854231da-d6fa-4273-a6c6-1405ce8d720b|نظام دفعات المقاولين
9776dc1c-b91f-4c5e-a91f-4f63256ca460|نظام GRP
983cf4ab-f1a4-4633-bc80-67deb4ef2210|نظام إدارة الاستراتيجية
98ca47c3-4743-4fee-bc4d-ce4b67660bad|نظام Dubai Career
9f93a750-295e-4f80-8bd0-31a48ea72c48|نظام JIRA
a9160dd4-f153-488f-8ef3-d0c0b4ecdb97|نظام ISO Manager
ab1b5d43-424e-412e-a270-17a5ece85c2b|نظام التخصيص
b0c83f5e-5f9a-46a8-a031-f56e13a36f61|نظام الذكاء المؤسسي
b7eb08de-fd3d-46ad-928f-51a92bc9ca93|نظام الhyperion
c45d664b-0da9-47ca-ac66-399571d24362|الموقع الداخلي للمؤسسة
c5889beb-e968-4e39-9194-6da88aef0c21|موقع بيتنا الداخلي
cb33a0e2-a656-4782-8fdb-41403482289e|نظام business inelligent
d3df263d-f9c4-40a3-a92e-bac8ed83ec85|نظام التدريب elearning for training
d58ed8be-84a3-4866-9ae8-57eb59cebdce|نظام الGRP
e2826e96-3085-4ee9-a1a4-6fceba288638|نظام Oracle
e3cc1188-451a-41fc-ba72-39ec6b5e760c|نظام تجاري E-supply
ece9ca7b-f711-428e-9b57-eead4703f027|نظام انتظار العملاء
ed93f5c4-1def-48c7-9387-a6151591049a|نظام الرقابة

(43 rows affected)
